clusters	colors
TR43742_c0_g1_i1	7	#3300FFFF
TR40503_c1_g1_i2	2	#00FFB3FF
TR31197_c1_g2_i12	2	#00FFB3FF
TR40253_c2_g1_i1	6	#0019FFFF
TR29033_c0_g2_i5	3	#00FFFFFF
TR21746_c0_g1_i2	4	#00B2FFFF
TR39780_c5_g1_i1	3	#00FFFFFF
TR26139_c2_g1_i1	10	#FF00E6FF
TR33384_c0_g2_i4	2	#00FFB3FF
TR32366_c2_g1_i12	10	#FF00E6FF
TR38604_c0_g1_i3	10	#FF00E6FF
TR35984_c0_g2_i1	8	#8000FFFF
TR42148_c0_g1_i4	2	#00FFB3FF
TR39379_c3_g3_i5	12	#FF004DFF
TR42714_c0_g1_i1	2	#00FFB3FF
TR39565_c4_g1_i2	2	#00FFB3FF
TR28460_c0_g3_i5	7	#3300FFFF
TR34316_c7_g2_i2	4	#00B2FFFF
TR41419_c1_g1_i2	2	#00FFB3FF
TR42799_c0_g1_i1	10	#FF00E6FF
TR37436_c0_g1_i1	3	#00FFFFFF
TR35226_c2_g1_i1	2	#00FFB3FF
TR41419_c1_g1_i5	2	#00FFB3FF
TR40580_c2_g2_i2	2	#00FFB3FF
TR27845_c0_g1_i1	2	#00FFB3FF
TR39005_c0_g3_i2	2	#00FFB3FF
TR16672_c0_g1_i1	6	#0019FFFF
TR25194_c0_g1_i1	3	#00FFFFFF
TR42427_c2_g1_i5	2	#00FFB3FF
TR43038_c0_g1_i7	2	#00FFB3FF
TR25615_c0_g2_i1	2	#00FFB3FF
TR34997_c1_g1_i4	2	#00FFB3FF
TR36169_c7_g2_i3	3	#00FFFFFF
TR38816_c0_g1_i8	3	#00FFFFFF
TR29379_c1_g1_i3	6	#0019FFFF
TR5271_c0_g3_i1	5	#0066FFFF
TR42740_c1_g1_i2	2	#00FFB3FF
TR36295_c0_g1_i3	3	#00FFFFFF
TR40033_c0_g1_i1	3	#00FFFFFF
TR35821_c0_g1_i1	2	#00FFB3FF
TR38399_c2_g2_i5	5	#0066FFFF
TR40810_c2_g1_i5	1	#00FF66FF
TR29568_c2_g1_i2	9	#CC00FFFF
TR33384_c0_g2_i12	9	#CC00FFFF
TR42980_c0_g1_i1	2	#00FFB3FF
TR39827_c0_g1_i2	2	#00FFB3FF
TR38353_c3_g1_i2	6	#0019FFFF
TR41443_c1_g1_i3	2	#00FFB3FF
TR37218_c3_g1_i2	10	#FF00E6FF
TR27335_c0_g1_i2	12	#FF004DFF
TR29568_c0_g1_i2	6	#0019FFFF
TR42661_c1_g1_i1	2	#00FFB3FF
TR37384_c6_g3_i1	2	#00FFB3FF
TR40965_c0_g1_i2	2	#00FFB3FF
